sample,unit,fq1,fq2
CLFT044,rep1,fastq/C44_A_1.fq.gz,fastq/C44_A_2.fq.gz
CLFT044,rep2,fastq/C44_B_1.fq.gz,fastq/C44_B_2.fq.gz
CLFT044,rep3,fastq/s_44C_1.fq.gz,fastq/s_44C_2.fq.gz
CLFT061,rep1,fastq/C61_A_1.fq.gz,fastq/C61_A_2.fq.gz
CLFT061,rep2,fastq/C61_B_1.fq.gz,fastq/C61_B_2.fq.gz
CLFT061,rep3,fastq/C61_C_1.fq.gz,fastq/C61_C_2.fq.gz
CLFT067,rep1,fastq/C67_A_1.fq.gz,fastq/C67_A_2.fq.gz
CLFT067,rep2,fastq/C67_B_1.fq.gz,fastq/C67_B_2.fq.gz
CLFT067,rep3,fastq/C67_C3_1.fq.gz,fastq/C67_C3_2.fq.gz
CLFT085,rep1,fastq/C65_A_1.fq.gz,fastq/C65_A_2.fq.gz
CLFT085,rep2,fastq/C65_B_1.fq.gz,fastq/C65_B_2.fq.gz
CLFT085,rep3,fastq/C65_C_1.fq.gz,fastq/C65_C_2.fq.gz
CLFT071,rep1,fastq/C71_A_1.fq.gz,fastq/C71_A_2.fq.gz
CLFT071,rep2,fastq/C71_B_1.fq.gz,fastq/C71_B_2.fq.gz
CLFT071,rep3,fastq/C71_C_1.fq.gz,fastq/C71_C_2.fq.gz
JEL423,rep1,fastq/J423_A_1.fq.gz,fastq/J423_A_2.fq.gz
JEL423,rep2,fastq/J423_B_1.fq.gz,fastq/J423_B_2.fq.gz
JEL423,rep3,fastq/J423_C_1.fq.gz,fastq/J423_C_2.fq.gz
