Genome	Factor	Count
Homolaphlyctis_polyrhiza_JEL0142	Size(Mbp)	21.324754
Polyrhizophydium_stewartii_JEL0888	Size(Mbp)	31.203426
Batrachochytrium_dendrobatidis_CLFT044	Size(Mbp)	26.117516
Batrachochytrium_dendrobatidis_CLFT067	Size(Mbp)	22.029792
Batrachochytrium_dendrobatidis_CLFT071	Size(Mbp)	22.218474
Batrachochytrium_dendrobatidis_JEL423	Size(Mbp)	23.897668
Batrachochytrium_dendrobatidis_JAM81	Size(Mbp)	24.315081
Batrachochytrium_dendrobatidis_RTP6	Size(Mbp)	24.102166
Batrachochytrium_salamandrivorans_AMFP13.1	Size(Mbp)	41.738742
Homolaphlyctis_polyrhiza_JEL0142	Intergenic_Space(Mbp)	7.459331
Polyrhizophydium_stewartii_JEL0888	Intergenic_Space(Mbp)	8.336032
Batrachochytrium_dendrobatidis_CLFT044	Intergenic_Space(Mbp)	8.036497
Batrachochytrium_dendrobatidis_CLFT067	Intergenic_Space(Mbp)	4.953397
Batrachochytrium_dendrobatidis_CLFT071	Intergenic_Space(Mbp)	5.044539
Batrachochytrium_dendrobatidis_JEL423	Intergenic_Space(Mbp)	6.248424
Batrachochytrium_dendrobatidis_JAM81	Intergenic_Space(Mbp)	8.333355
Batrachochytrium_dendrobatidis_RTP6	Intergenic_Space(Mbp)	5.81635
Batrachochytrium_salamandrivorans_AMFP13.1	Intergenic_Space(Mbp)	17.574021
Homolaphlyctis_polyrhiza_JEL0142	TE_content(Mbp)	1.174993945
Polyrhizophydium_stewartii_JEL0888	TE_content(Mbp)	7.532507036
Batrachochytrium_dendrobatidis_CLFT044	TE_content(Mbp)	7.95017187
Batrachochytrium_dendrobatidis_CLFT067	TE_content(Mbp)	4.643880154
Batrachochytrium_dendrobatidis_CLFT071	TE_content(Mbp)	4.861402111
Batrachochytrium_dendrobatidis_JEL423	TE_content(Mbp)	5.477345506
Batrachochytrium_dendrobatidis_JAM81	TE_content(Mbp)	5.546269976
Batrachochytrium_dendrobatidis_RTP6	TE_content(Mbp)	5.760417674
Batrachochytrium_salamandrivorans_AMFP13.1	TE_content(Mbp)	3.88587688
