Genome	Factor	Count
Homolaphlyctis_polyrhiza_JEL0142	LTR	0
Polyrhizophydium_stewartii_JEL0888	LTR	1428
Batrachochytrium_dendrobatidis_CLFT044	LTR	563
Batrachochytrium_dendrobatidis_CLFT067	LTR	394
Batrachochytrium_dendrobatidis_CLFT071	LTR	285
Batrachochytrium_dendrobatidis_JEL423	LTR	374
Batrachochytrium_dendrobatidis_JAM81	LTR	389
Batrachochytrium_dendrobatidis_RTP6	LTR	434
Batrachochytrium_salamandrivorans_AMFP13.1	LTR	1029
Homolaphlyctis_polyrhiza_JEL0142	LINEs	0
Polyrhizophydium_stewartii_JEL0888	LINEs	792
Batrachochytrium_dendrobatidis_CLFT044	LINEs	62
Batrachochytrium_dendrobatidis_CLFT067	LINEs	78
Batrachochytrium_dendrobatidis_CLFT071	LINEs	29
Batrachochytrium_dendrobatidis_JEL423	LINEs	63
Batrachochytrium_dendrobatidis_JAM81	LINEs	59
Batrachochytrium_dendrobatidis_RTP6	LINEs	57
Batrachochytrium_salamandrivorans_AMFP13.1	LINEs	803
Homolaphlyctis_polyrhiza_JEL0142	DNA_Transposons	53
Polyrhizophydium_stewartii_JEL0888	DNA_Transposons	20
Batrachochytrium_dendrobatidis_CLFT044	DNA_Transposons	716
Batrachochytrium_dendrobatidis_CLFT067	DNA_Transposons	336
Batrachochytrium_dendrobatidis_CLFT071	DNA_Transposons	487
Batrachochytrium_dendrobatidis_JEL423	DNA_Transposons	611
Batrachochytrium_dendrobatidis_JAM81	DNA_Transposons	629
Batrachochytrium_dendrobatidis_RTP6	DNA_Transposons	614
Batrachochytrium_salamandrivorans_AMFP13.1	DNA_Transposons	35
